X,Y,Vx,Vy,Phi,r,px2,px1,py1,py2
0.110177212302881,0.000538475383377989,0.431697070976708,0.0025999472578228,0.000401211327091815,0.00203827004588783,0.416637281112932,0.432198726839724,0.000437842308080777,0.00298127758998871
0.114536656328905,0.000566878050246432,0.440192523022083,0.00271677639964286,0.000422357546227672,0.00217921681216743,0.416535379835539,0.440577493912306,0.000457637679390035,0.00305642969828792
0.118980954982871,0.000596441964297945,0.44866391350081,0.00280739893599754,0.000444574567997511,0.00225545570534503,0.416430017759177,0.448955406778468,0.000476697503532789,0.00313344936334959
0.123509771047265,0.000626977595178011,0.457094839495235,0.00288593261110913,0.000467342240360249,0.00229430649929817,0.416320819709628,0.457333108879641,0.000495641920331753,0.00321217160002957
0.128122665298007,0.000658434387938793,0.465479403364886,0.00296404120181195,0.000490418910472167,0.00232040830922071,0.416206983541304,0.465711308931447,0.000514791606418366,0.00329221432453947
0.132819163889927,0.000690838216287085,0.473815675426388,0.00304564588446379,0.000513756107563858,0.00234782717407622,0.41608746742148,0.474090637960224,0.000534428520252689,0.00337336241631626
0.137598780157005,0.000724225339570051,0.482103498039346,0.00312949262420648,0.000537397808708136,0.00238151731862597,0.415961222686864,0.482471516681879,0.000556009461610985,0.00345556610269702
0.142461030622784,0.000758610056989482,0.490342809874586,0.0032129437231186,0.000561406550406079,0.00242092218163614,0.415827441599405,0.490854026125969,0.000579943683790198,0.00353885080003127
0.14740543167885,0.000793984246303383,0.498533925351305,0.00329425883704534,0.000585827099037119,0.00246344855401926,0.415685807534207,0.499237784768229,0.000605414128975554,0.00362324473847201
0.152432110258485,0.000830442571111729,0.506846311050493,0.00340968260259487,0.000610791779361536,0.00256378024536666,0.415536768444553,0.507621815926434,0.000631516010293116,0.00370859757005773
0.15754275724948,0.000868547079612463,0.515297831008588,0.00357479361389283,0.000637524756249133,0.002784683253124,0.415381535242539,0.516004839041132,0.000656897701396967,0.00379406389697637
0.162738086736375,0.000908446587656846,0.523772064540094,0.00372202255975924,0.000666322128626569,0.00296132183700091,0.415221309703768,0.524386361217298,0.000680735912928479,0.00388050430282865
0.168018072903575,0.000949857996656994,0.532225283705105,0.00383631855060149,0.000696481018966095,0.00305924808454389,0.415056767827296,0.532766477184751,0.000703389666995729,0.00396888722808806
0.173382408626568,0.000992533573219744,0.540640880790546,0.00393368662173864,0.000727342347978982,0.00310774779195757,0.414888016754136,0.541145557942766,0.00072562823910032,0.00405911695981574
0.17883068108135,0.00103639256865161,0.549012654515777,0.0040288514946163,0.000758573866012205,0.0031373465047081,0.414714719043609,0.549524061266901,0.000747869795664465,0.00415080754138078
0.184362440100194,0.00108145433211782,0.557338256384278,0.0041273831510271,0.000790088427317165,0.0031662690754856,0.414536272856831,0.557902391318829,0.000770455823728128,0.00424372938238771
0.18997721888041,0.00112775789492026,0.565617165027008,0.00422835752998308,0.000821922371003851,0.00320166585612151,0.4143520351152,0.566280769737662,0.000795072848718251,0.00433782695949684
0.195674549464549,0.0011753196368991,0.573849068816869,0.00432876126348136,0.000854144971873372,0.00324371894114531,0.414161563443539,0.574659107843723,0.000822235108012794,0.00443312793371995
0.201453961454253,0.00122412883622641,0.582033967512083,0.00442636279853494,0.00088681047482776,0.00328975352453702,0.413964865331432,0.58303688314565,0.000851008924019738,0.00452966686960991
0.207315585266625,0.00127428496236889,0.590339399991714,0.00456163484950392,0.000920054179167034,0.00339708750581097,0.41376266775001,0.591413008313694,0.000880350075088221,0.00462728568149137
0.213261099622574,0.00132644306481344,0.598782834843063,0.00475717254061288,0.000955282249792348,0.00365290541351637,0.413556410429469,0.599786123842031,0.000908653337226446,0.00472494047927874
0.219291212940703,0.00138079719124473,0.607248878307376,0.00493197639788892,0.000992944846900377,0.00386411363872602,0.413347439314496,0.608155690563293,0.000934924724959436,0.00482351475783103
0.225405900094796,0.00143700754291884,0.615694028344194,0.00506624493142694,0.00103224316454988,0.00398185625575258,0.413136519485569,0.616521778612573,0.000959607892962575,0.00492418621006949
0.231604854567387,0.00149476410635715,0.624101474566162,0.00517855764135828,0.00107237772510742,0.00403832474105754,0.41292382447653,0.624884749991851,0.000983648446489599,0.00502693657482516
0.237887661317956,0.00155395489400486,0.632464762151585,0.00528678056410549,0.0011129283604234,0.00407003231552361,0.412709068777489,0.633245067792313,0.00100758316046382,0.0051313723707604
0.244253865558798,0.00161459144852704,0.640781309533318,0.00539805593714472,0.00115377190235802,0.00409931268225994,0.412491684852435,0.641603156242839,0.00103182548711318,0.00523724553168489
0.250702993901249,0.00167671343027655,0.649050399667875,0.00551172391368179,0.00119493917765986,0.00413544259715788,0.412271041153666,0.64995927278608,0.00105831431880042,0.00534449245146483
0.257234569437192,0.00174033682153134,0.657271651300449,0.00562440054002378,0.00123650777877143,0.00417931338426553,0.412046680947146,0.658313380607363,0.00108770975654722,0.00545314146647142
0.263848113225028,0.00180544623384471,0.665444856766885,0.00573342382133496,0.00127854270941797,0.00422816734822417,0.411818572631906,0.666665023584931,0.00111897321603452,0.00556323159321999
0.270543737922772,0.00187215007435172,0.673735624327054,0.00588502522780616,0.0013211911634167,0.00434414123864796,0.411587374129092,0.675013197819542,0.00115090645416701,0.00567458594417881
0.277323087287557,0.00194120930464114,0.682161323997633,0.00610776105895703,0.00136606370571554,0.00463724808868298,0.411354427226275,0.683356643634212,0.00118161737500082,0.00578592557102835
0.284186846650016,0.00201286059384783,0.690607956168822,0.00630635582593588,0.00141376402313162,0.00488522031381478,0.411120915268263,0.691694936329448,0.00120993254919802,0.00589816421795657
0.29113497739084,0.00208670337522968,0.699032528634451,0.00645644488606541,0.00146339365020216,0.00502442205892749,0.410887405736157,0.700028264968952,0.0012363924914007,0.00601270677763766
0.298167161872479,0.00216236398317638,0.707418235269731,0.0065795073846014,0.00151400672627722,0.00508989575366127,0.410653879212847,0.708357107768142,0.00126213733241305,0.00612961654614622
0.305282972960455,0.00223970022182834,0.715758569134855,0.00669677303906283,0.00156508964939868,0.00512430367256776,0.410419872164159,0.716682040256301,0.00128783379728205,0.0062484893999132
0.312481943412444,0.00231871857084402,0.724050902446537,0.00681708197177084,0.00161647998629999,0.00515431289886919,0.410184651057552,0.725003596036144,0.00131396973519008,0.00636905392278123
0.319763587319289,0.00239946285072741,0.73229450316465,0.00694009540412102,0.00166820176141857,0.00519149939555584,0.409947421814988,0.733322141580824,0.00134275034424763,0.00649123329427194
0.327127414937849,0.0024819525707159,0.7404890749727,0.00706208433405212,0.00172034100768079,0.00523758166947387,0.409707564394493,0.741637749926673,0.00137499670572532,0.00661505169057243
0.334572935751074,0.00256617178486852,0.748634445766043,0.00717996438575707,0.00177297455053799,0.00528976904975539,0.40946488393975,0.749950074762248,0.00140954939260996,0.00674054688948941
0.342100242433538,0.00265224187906063,0.756893920219106,0.00734576134472452,0.00182626145535899,0.00541473026984472,0.4092198701161,0.758258224548976,0.00144503448291441,0.00686751793928885
0.349710937619015,0.00274104030613792,0.765284783205232,0.00759519718428452,0.00188202169067358,0.0057471728700274,0.408973697778506,0.766561053182558,0.00147923580295241,0.0069944227377235
0.357405681778589,0.00283286159564083,0.77369498243254,0.00781794599396129,0.00194103549673599,0.0060359975356415,0.408727363658459,0.774858239717323,0.0015107563179883,0.00712217631059724
0.365184425206763,0.00292724855660607,0.782082351914009,0.00798416666775727,0.00200231319119495,0.00620048546787934,0.408481244895006,0.783150062678237,0.0015402222414593,0.00725241657516737
0.373046844192852,0.00302376387663354,0.790430221687839,0.00811825574443338,0.0020647542611859,0.00627767298952379,0.408235161941351,0.791437073431406,0.0015689721559196,0.00738530199155787
0.380992505250735,0.00312223648279381,0.798732136141694,0.00824504613006179,0.00212774064178756,0.00631648127274375,0.407988526634526,0.799719907220132,0.00159780362519686,0.00752042411558977
0.389020935337877,0.0032226713766967,0.806985481460726,0.00837530282805365,0.00219106262881956,0.00634831380200106,0.407740509160885,0.807999146802751,0.00162727620044307,0.00765748769997322
0.39713164318327,0.00332512174083541,0.81518957618047,0.00850910986676656,0.00225473315092195,0.0063873768679336,0.407490236443786,0.816275201395053,0.0016598737159981,0.00779640032762159
0.405324133928242,0.00342961623574468,0.823344260072733,0.0086423918621314,0.00231884502784024,0.00643642025857295,0.407237022642108,0.824548181747245,0.00169657562982656,0.0079371773544571
0.413597913758238,0.00353614367729471,0.831449427661455,0.00877159002908798,0.00238348679605117,0.00649272900151696,0.406980612661841,0.832817777020302,0.00173607609484533,0.00807985137136391
0.421953064223699,0.00364484122333179,0.83966613424506,0.00895406108072825,0.00244882608797148,0.0066266233243243,0.406721439332778,0.841083130764556,0.00177679831051571,0.00822419708511076
0.430391155266443,0.00375671156021502,0.848011523874503,0.00923456347314721,0.00251689324250516,0.00700025514595424,0.406460623765611,0.849343134868606,0.00181616346981301,0.00836838879128101
0.438912830635458,0.00387212522208283,0.856375545674314,0.00948681056599295,0.0025886725435043,0.00733427498937789,0.406199073850408,0.857597503509834,0.00185249164174116,0.00851331894744513
0.447518039180138,0.00399057230693932,0.864716898403219,0.00967418410377637,0.00266309499492773,0.00752815656074409,0.405937067054022,0.865846537678378,0.0018864770806246,0.00866086879615561
0.456206460045829,0.00411154761844777,0.873019094017774,0.00982387353581278,0.00273889443942943,0.00761971221240942,0.405674355676726,0.874090795378065,0.0019196683708592,0.00881130812853085
0.464977663034996,0.00423484955042401,0.881275621902426,0.00996470199808546,0.00281533539229079,0.00766448505087406,0.405410324074157,0.882330905039596,0.00195300171026472,0.00896423083827561
0.473831177830754,0.00436048251236548,0.889483827237879,0.010109558470294,0.00289215206909894,0.00769901224871407,0.405144145298527,0.890567434140991,0.00198711271396088,0.00911932233043007
0.482766515576437,0.00448851116316718,0.897643054803484,0.0102590133437704,0.00296934107167539,0.00774046454120076,0.404874965598764,0.898800773101173,0.00202479596415417,0.00927647639229354
0.491783183911397,0.0046189754491549,0.905753227397108,0.0104086018422885,0.00304699958810771,0.00779283353892099,0.40460212636397,0.907031013311575,0.00206719402243836,0.00943570185507632
0.500880692941709,0.00475187038924613,0.91381424618505,0.0105542078226242,0.00312522700917306,0.00785359879460664,0.404325407399281,0.91525782405102,0.00211282874553639,0.00959702718970675
